"Nestl.ID","Vol.2","mass.A","Total.Trip.min","T.perc","nestling.temp","Nestl.ID.1","bf","K","Hem","Nest.ID","Nestling.Max","Species.J","Vol.2.1","Species"
"228163852",NA,NA,0.225449351857143,0.236437667571429,38.13056144,"228163852","0",NA,34,"DR1.1.18",4,"EABL",NA,"EABL"
"228163853",NA,NA,0.225449351857143,0.236437667571429,38.13056144,"228163853","0",NA,32,"DR1.1.18",4,"EABL",NA,"EABL"
"228163854",NA,NA,0.225449351857143,0.236437667571429,38.13056144,"228163854","0",NA,34,"DR1.1.18",4,"EABL",NA,"EABL"
"228163855",2171.408125,0.55325,0.2289979934,0.1683653206,37.74070248,"228163855","0",NA,34,"DR4.1.18",5,"EABL",1530.55375,"EABL"
"228163856",2171.408125,0.55325,0.2289979934,0.1683653206,37.74070248,"228163856","0",NA,32,"DR4.1.18",5,"EABL",1530.55375,"EABL"
"228163857",2171.408125,0.55325,0.2289979934,0.1683653206,37.74070248,"228163857","0",NA,37,"DR4.1.18",5,"EABL",1530.55375,"EABL"
"228163858",2171.408125,0.55325,0.2289979934,0.1683653206,37.74070248,"228163858","0",NA,31,"DR4.1.18",5,"EABL",1530.55375,"EABL"
"228163859",2171.408125,0.55325,0.2289979934,0.1683653206,37.74070248,"228163859","0",NA,32,"DR4.1.18",5,"EABL",1530.55375,"EABL"
"228163865",NA,NA,0.225074168333333,0.242319150333333,NA,"228163865","0",NA,34,"W50.1.18",5,"EABL",NA,"EABL"
"228163866",NA,NA,0.225074168333333,0.242319150333333,NA,"228163866","0",NA,37,"W50.1.18",5,"EABL",NA,"EABL"
"228163867",NA,NA,0.225074168333333,0.242319150333333,NA,"228163867","0",NA,31,"W50.1.18",5,"EABL",NA,"EABL"
"228163870",1310.5575,0.2167,0.1277789274,0.3627938812,36.80572597,"228163870","0",NA,38,"LF2.1.18",4,"EABL",1310.5575,"EABL"
"228163871",1310.5575,0.2167,0.1277789274,0.3627938812,36.80572597,"228163871","0",NA,30,"LF2.1.18",4,"EABL",1310.5575,"EABL"
"228163872",1310.5575,0.2167,0.1277789274,0.3627938812,36.80572597,"228163872","0",NA,33,"LF2.1.18",4,"EABL",1310.5575,"EABL"
"228163873",1310.5575,0.2167,0.1277789274,0.3627938812,36.80572597,"228163873","0",NA,33,"LF2.1.18",4,"EABL",1310.5575,"EABL"
"228163879",1265.42,2.426,0.18089311775,0.13310422775,NA,"228163879","0",NA,31,"W36.1.18",5,"EABL",1265.42,"EABL"
"228163880",1265.42,2.426,0.18089311775,0.13310422775,NA,"228163880","0",NA,22,"W36.1.18",5,"EABL",1265.42,"EABL"
"228163883",1265.42,2.426,0.18089311775,0.13310422775,NA,"228163883","0",NA,26,"W36.1.18",5,"EABL",1265.42,"EABL"
"228163884",1265.42,2.426,0.18089311775,0.13310422775,NA,"228163884","0",NA,24,"W36.1.18",5,"EABL",1265.42,"EABL"
"228163885",1265.42,2.426,0.18089311775,0.13310422775,NA,"228163885","0",NA,23,"W36.1.18",5,"EABL",1265.42,"EABL"
"228163886",NA,NA,0.016830295,0.006451613,NA,"228163886","0",NA,40,"W56B.1.18",2,"EABL",NA,"EABL"
"228163887",NA,NA,0.016830295,0.006451613,NA,"228163887","0",NA,45,"W56B.1.18",2,"EABL",NA,"EABL"
"228163889",1077.60875,1.9794,0.2118866264,0.3898416904,36.60608646,"228163889","0",NA,37,"W33.1.18",4,"EABL",1077.60875,"EABL"
"228163890",1077.60875,1.9794,0.2118866264,0.3898416904,36.60608646,"228163890","0",NA,43,"W33.1.18",4,"EABL",1077.60875,"EABL"
"228163891",1077.60875,1.9794,0.2118866264,0.3898416904,36.60608646,"228163891","0",NA,32,"W33.1.18",4,"EABL",1077.60875,"EABL"
